ᄁ,ᄏ
ᄄ,ᄐ
ᄈ,ᄑ
ᄊ,ᄉ
ᄍ,ᄎ
ᅢ,ᅦ
ᅤ,ᅨ
ᅫ,ᅬ
ᅰ,ᅬ
ᅥ,ᅩ
ᅧ,ᅭ
ᅳ,ᅮ
ᅴ,ᅱ
ᆨ,ッ
ᆫ,ン
ᆮ,ッ
ᆯ,ー
ᆷ,ンー
ᆸ,ッ
ᆼ,ンー
가,ガ
갸,ギャ
고,ゴ
교,ギョ
구,グ
규,ギュ
기,ギ
게,ゲ
계,ギェ
과,グァ
괴,グェ
귀,グィ
궈,グォ
나,ナ
냐,ニャ
노,ノ
뇨,ニョ
누,ヌ
뉴,ニュ
니,ニ
네,ネ
녜,ニェ
놔,ヌァ
뇌,ヌェ
뉘,ヌィ
눠,ヌォ

다,ダ
댜,デャ
도,ド
됴,デョ
두,ドゥ
듀,デュ
디,ディ
데,デ
뎨,ディェ
돠,ドゥァ
되,ドゥェ
뒤,ドゥィ
둬,ドゥォ

라,ラ
랴,リャ
로,ロ
료,リョ
루,ル
류,リュ
리,リ
레,レ
례,リェ
롸,ルァ
뢰,ルェ
뤼,ルィ
뤄,ルォ
마,マ
먀,ミャ
모,モ
묘,ミョ
무,ム
뮤,ミュ
미,ミ
메,メ
몌,ミェ
뫄,ムァ
뫼,ムェ
뮈,ムィ
뭐,ムォ

바,バ
뱌,ビャ
보,ボ
뵤,ビョ
부,ブ
뷰,ビュ
비,ビ
베,ベ
볘,ビェ
봐,ブァ
뵈,ブェ
뷔,ブィ
붜,ブォ

사,サ
샤,シャ
소,ソ
쇼,ショ
수,ス
슈,シュ
시,シ
세,セ
셰,シェ
솨,スァ
쇠,スェ
쉬,スゥィ
숴,スォ

아,ァ
야,ャ
오,ォ
요,ョ
우,ゥ
유,ュ
이,ィ
에,ェ
예,イェ
와,ヮ
외,ウェ
위,ウィ
워,ウォ

자,ザ
쟈,ジャ
조,ゾ
죠,ジョ
주,ズ
쥬,ジュ
지,ジ
제,ゼ
졔,ジェ
좌,ズァ
죄,ズェ
쥐,ズィ
줘,ズォ

차,ツァ
챠,シャ
초,ツォ
쵸,チォ
추,ツ
츄,チュ
치,チ
체,ツェ
쳬,チェ
촤,ァ
최,ェ
취,ィ
춰,ォ

카,カ
캬,キャ
코,コ
쿄,キョ
쿠,ク
큐,キュ
키,キ
케,ケ
켸,キェ
콰,クァ
쾨,クェ
퀴,クィ
쿼,クォ

타,タ
탸,ッ'ヤ
토,ト
툐,ッ'ヨ
투,トゥ
튜,テュ
티,ティ
테,テ
톄,ッ'ッエ
톼,トァ
퇴,トェ
튀,トィ
퉈,トォ

파,パ
퍄,ピャ
포,ポ
표,ピョ
푸,プ
퓨,ピュ
피,ピ
페,ペ
폐,ピェ
퐈,プァ
푀,プェ
퓌,プィ
풔,プォ

하,ハ
햐,ヒャ
호,ホ
효,ヒョ
후,フ
휴,ヒュ
히,ヒ
헤,ヘ
혜,ヒェ
화,ファ
회,フェ
휘,フィ
훠,フォ
